player_id,player_name,position,batting_order,AB,R,H,RBI,BB,SO,HR,IP,H_pit,R_pit,ER,BB_pit,SO_pit,HR_pit,ERA,WHIP,errors,assists,putOuts
644433,Chadwick Tromp,C,,5,0,0,0,1,2,0,0,0,0,0,0,0,0,,,0,1,17
669397,Nick Allen,SS,9,340,31,78,21,31,90,0,0,0,0,0,0,0,0,,,5,240,144
669276,Dylan Lee,P,,0,0,0,0,0,0,0,57.00,44,19,17,12,62,9,2.68,0.98,0,8,6
650559,Bryan De La Cruz,LF,7,47,1,9,0,3,18,0,0,0,0,0,0,0,0,,,0,1,21
700363,AJ Smith-Shawver,P,,0,0,0,0,0,0,0,44.1,42,20,19,21,42,4,3.86,1.42,0,4,4
671739,Michael Harris II,CF,6,474,44,124,66,13,97,15,0,0,0,0,0,0,0,,,0,1,300
572955,Pierce Johnson,P,,0,0,0,0,0,0,0,47,34,12,11,14,45,4,2.11,1.02,0,4,5
593576,Héctor Neris,P,,0,0,0,0,0,0,0,1,5,5,5,1,1,1,45.0,6.0,0,0,0
595777,Jurickson Profar,LF,1,185,33,48,26,27,36,9,0,0,0,0,0,0,0,,,1,0,101
680885,Spencer Schwellenbach,P,,0,0,0,0,0,0,0,110.2,89,44,38,18,108,13,3.09,0.97,1,21,19
660761,José Suarez,P,,0,0,0,0,0,0,0,7.1,3,3,2,7,5,1,2.45,1.36,0,2,2
660853,Enyel De Los Santos,P,,0,0,0,0,0,0,0,43.2,39,25,22,18,38,2,4.53,1.31,4,4,3
686948,Drake Baldwin,C,4,288,34,81,53,25,53,13,0,0,0,0,0,0,0,,,3,20,499
519242,Chris Sale,P,,0,0,0,0,0,0,0,89.1,78,27,25,26,114,7,2.52,1.16,0,10,4
621566,Matt Olson,1B,2,483,69,128,72,75,136,19,0,0,0,0,0,0,0,,,3,112,915
607481,Aaron Bummer,P,,0,0,0,0,0,0,0,53,51,27,23,17,51,3,3.91,1.28,2,7,3
625643,Reynaldo López,P,,0,0,0,0,0,0,0,5,9,3,3,2,1,1,5.4,2.2,0,3,0
642201,Eli White,CF,6,236,38,56,32,10,64,9,0,0,0,0,0,0,0,,,0,3,123
645277,Ozzie Albies,2B,7,481,54,109,48,47,84,10,0,0,0,0,0,0,0,,,2,308,166
628452,Raisel Iglesias,P,,0,0,0,0,0,0,0,52.2,47,24,23,10,58,8,3.93,1.08,0,4,2
663586,Austin Riley,3B,3,417,54,108,54,27,129,16,0,0,0,0,0,0,0,,,11,166,56
656550,Grant Holmes,P,,0,0,0,0,0,0,0,115,100,52,51,54,123,16,3.99,1.34,1,9,20
606115,Orlando Arcia,DH,4,31,1,6,1,1,8,0,0,0,0,0,0,0,0,,,0,17,7
672284,Jarred Kelenic,RF,,60,7,10,2,5,23,2,0,0,0,0,0,0,0,,,2,0,32
542303,Marcell Ozuna,DH,5,389,52,92,60,80,107,20,0,0,0,0,0,0,0,,,0,0,0
678226,Daysbel Hernández,P,,0,0,0,0,0,0,0,36.1,24,13,11,30,33,1,2.72,1.49,0,5,2
445926,Jesse Chavez,P,,0,0,0,0,0,0,0,8,14,8,8,5,8,4,9.0,2.38,0,1,0
693821,Bryce Elder,P,,0,0,0,0,0,0,0,107.00,122,72,70,41,87,19,5.89,1.52,0,12,9
605507,Zach Thompson,P,,0,0,0,0,0,0,0,3.2,0,0,0,1,3,0,0.0,0.27,0,0,0
656413,Stuart Fairchild,RF,,51,7,11,2,4,15,0,0,0,0,0,0,0,0,,,0,3,33
669221,Sean Murphy,C,,270,32,55,43,34,98,16,0,0,0,0,0,0,0,,,2,30,597
606160,Rafael Montero,P,,0,0,0,0,0,0,0,34.1,27,22,21,21,34,3,5.5,1.4,0,3,5
656848,Michael Petersen,P,,0,0,0,0,0,0,0,6.2,7,3,3,2,5,1,4.05,1.35,0,0,0
675911,Spencer Strider,P,,0,0,0,0,0,0,0,89.1,92,53,52,36,102,17,5.24,1.43,2,3,7
657077,Alex Verdugo,LF,7,197,21,47,12,14,31,0,0,0,0,0,0,0,0,,,2,1,88
656240,Scott Blewett,P,,0,0,0,0,0,0,0,16.1,16,11,10,10,13,5,5.51,1.59,0,0,1
686249,Nathan Wiles,P,,0,0,0,0,0,0,0,1,4,3,3,0,1,0,27.0,4.0,0,0,0
669721,Davis Daniel,P,,0,0,0,0,0,0,0,10,9,6,6,7,9,1,5.4,1.6,0,0,0
666120,Ian Anderson,P,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
592696,Eddie Rosario,PR,6,4,1,0,0,0,2,0,0,0,0,0,0,0,0,,,0,0,3
663897,Luke Williams,P,,32,5,3,5,1,10,0,6,6,2,2,1,4,1,3.0,1.17,1,22,18
689266,Dylan Dodd,P,,0,0,0,0,0,0,0,21.1,16,9,9,2,20,4,3.8,0.84,0,3,3
660670,Ronald Acuña Jr.,RF,3,213,50,64,27,44,68,14,0,0,0,0,0,0,0,,,1,4,90
640492,José Azocar,RF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
518886,Craig Kimbrel,P,,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.0,2.0,0,1,0
680735,Austin Cox,P,,0,0,0,0,0,0,0,17.2,24,13,13,5,21,5,6.62,1.64,0,1,2
614179,José Ruiz,P,,0,0,0,0,0,0,0,2,2,3,3,3,3,0,13.5,2.5,0,0,0
800311,Didier Fuentes,P,,0,0,0,0,0,0,0,13,23,20,20,6,12,6,13.85,2.23,0,0,0
643361,Kevin Herget,P,,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0.0,3.0,0,0,1
805373,Nacho Alvarez Jr.,3B,8,74,11,17,5,6,24,0,0,0,0,0,0,0,0,,,1,39,19
666214,Joey Wentz,P,,0,0,0,0,0,0,0,34.2,21,11,10,12,31,2,2.6,0.95,0,3,3
593833,Wander Suero,P,,0,0,0,0,0,0,0,5,5,6,6,2,5,2,10.8,1.4,0,0,0
641540,Dane Dunning,P,,0,0,0,0,0,0,0,5.2,8,9,9,2,6,1,14.29,1.76,0,0,0
506702,Sandy León,C,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,2
676702,Hunter Stratton,P,,0,0,0,0,0,0,0,6,6,0,0,2,5,0,0.0,1.33,0,0,1
607200,Erick Fedde,P,,0,0,0,0,0,0,0,19,19,15,15,11,12,2,7.11,1.58,0,2,2
471911,Carlos Carrasco,P,,0,0,0,0,0,0,0,13.2,22,15,15,7,9,3,9.88,2.12,0,1,0
641755,Tyler Kinley,P,,0,0,0,0,0,0,0,7.2,5,1,1,7,9,0,1.17,1.57,0,0,1
694462,Hurston Waldrep,P,,0,0,0,0,0,0,0,23.1,12,3,3,7,21,0,1.16,0.81,0,0,2
680716,Jonathan Ornelas,SS,9,4,1,2,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1
660644,Vidal Bruján,SS,9,10,3,2,1,4,2,0,0,0,0,0,0,0,0,,,0,0,8
